,Chinese,English,Spanish,sum,,,,,,
16k,24,32,18,74,,,,,,
22.05k,14,23,,37,,,,,,
24k,14,19,,33,,,,,,
32k,17,19,,36,,,,,,
44.1k,27,35,17,79,,,,,,
48k,23,29,28,80,,,,,,
sum,119,157,63,339,,,,,,
,normal noise,reverb,mix,strong noise,normal noise+reverb,normal noise+mix,reverb+mix,personalized enhanced,strong noise+reverb,strong noise+mix
16k,12,20,0,9,3,0,0,7,17,6
22.05k,12,0,3,7,3,0,0,1,6,5
24k,7,3,3,7,2,3,0,1,4,3
32k,6,1,3,8,4,0,1,1,6,6
44.1k,19,3,10,4,17,1,0,7,11,7
48k,10,4,7,8,19,5,0,11,10,6
,66,31,26,43,48,9,1,28,54,33
