ÎÄ¼şÃû,Ê§ÕæÀàĞÍ
709d1acb-86f7-4377-bbb2-7f1f1a6b03be-soConvert.wav,ÓïÒôÖØµş
919bae4d-1bfd-41f6-8abe-dec730f846d9-soConvert.wav,ÓïÒôÖØµş
959c027b-a39d-4bd8-8e8b-98219e2afab0-soConvert.wav,ÓïÒôÖØµş
3762e470-a4cf-4abe-825d-696555bd2d9b-soConvert.wav,ÓïÒôÖØµş
5876b0ea-0522-4ec1-95c6-0d4a5c9442f1-soConvert.wav,ÓïÒôÖØµş
6235ba7f-6b2c-4152-bcc6-460c8afbfd38-soConvert.wav,ÓïÒôÖØµş
8452c8d6-2edc-4377-aff1-ac82dbcdd00d-soConvert.wav,ÓïÒôÖØµş
14669b25-2a00-4a66-a6c3-2d4071ab2a3b-soConvert.wav,ÓïÒôÖØµş
33921d00-c180-4f40-baf6-b6587c419e5c-soConvert.wav,ÓïÒôÖØµş
44297bb9-2295-4327-974f-2b3bac8873b7-soConvert.wav,ÓïÒôÖØµş
00395.wav,µÍÒô|ÔëÉù
00401.wav,whisper
00403.wav,ÔëÉù
00406.wav,whisper
00418.wav,ÔëÉù
00420.wav,whisper|ÔëÉù
00422.wav,µÍÒô|ÔëÉù
00423.wav,whisper|ÔëÉù
00433.wav,ÔëÉù
00449.wav,ÔëÉù
00451.wav,µÍÒô|ÔëÉù
00486.wav,»ìÏì
human(17).wav,»ìÏì
human(5).wav,»ìÏì
human(7).wav,»ìÏì
human(12).wav,»ìÏì
human(14).wav,»ìÏì
human(9).wav,»ìÏì
human(11).wav,»ìÏì
human(6).wav,»ìÏì
