ÎÄ¼şÃû,Ê§ÕæÀàĞÍ
b7405d8e-ef5a-4201-80fd-5a36761a63fb-soConvert.wav,ÓïÒôÖØµş
c1c1d2b0-9037-4ac4-9588-d18d17f283b3-soConvert.wav,ÓïÒôÖØµş
cab20b48-c036-4dab-a32a-a0d252fda0ac-soConvert.wav,ÓïÒôÖØµş
cc758781-b345-428f-a9d9-e0db8820484a-soConvert.wav,ÓïÒôÖØµş
ccf837b3-cc78-4c39-bfb9-e77269ef7b7f-soConvert.wav,ÓïÒôÖØµş
cfdc9f3d-cee2-495f-bf88-9b4c9fb56cba-soConvert.wav,ÓïÒôÖØµş
d1d53f03-40fa-4c81-8212-27aaa5723d26-soConvert.wav,ÓïÒôÖØµş
d4c4a33a-a1af-4f42-b4b6-31fd3b5ae082-soConvert.wav,ÓïÒôÖØµş
d34ff41f-fd0c-4933-a06d-9ef909546398-soConvert.wav,ÓïÒôÖØµş
d250a7b8-05be-4e21-8e90-6a24dd09f327-soConvert.wav,ÓïÒôÖØµş
human(12).wav,»ìÏì
human(13).wav,»ìÏì
human(16).wav,»ìÏì
human(18).wav,»ìÏì
human(20).wav,»ìÏì
00530.wav,ÔëÉù
00549.wav,whisper
00550.wav,whisper|ÔëÉù
00553.wav,ÔëÉù
00559.wav,whisper|ÔëÉù
00566.wav,ÔëÉù
00588.wav,ÔëÉù
